Date,Open,High,Low,Close,Adj Close,Volume
11/28/2018,0.360313,0.401583,0.360313,0.390557,0.390557,774818000
11/29/2018,0.391862,0.392465,0.373789,0.379562,0.379562,629900577
11/30/2018,0.380538,0.381019,0.355205,0.362455,0.362455,512041152
12/1/2018,0.362557,0.377056,0.357083,0.372906,0.372906,397266566
12/2/2018,0.372162,0.378392,0.365732,0.367627,0.367627,335732170
12/3/2018,0.368598,0.368598,0.346975,0.348754,0.348754,392651603
12/4/2018,0.348534,0.361431,0.342528,0.352231,0.352231,445334425
12/5/2018,0.352353,0.353309,0.338242,0.338242,0.338242,400526135
12/6/2018,0.337083,0.342495,0.31036,0.310936,0.310936,517551018
12/7/2018,0.310837,0.311059,0.291351,0.301997,0.301997,667331347
12/8/2018,0.30244,0.318185,0.297232,0.307269,0.307269,463529471
12/9/2018,0.306451,0.320144,0.304666,0.31337,0.31337,430122747
12/10/2018,0.313485,0.31621,0.3006,0.303766,0.303766,386627711
12/11/2018,0.3031,0.310343,0.298095,0.301345,0.301345,394872461
12/12/2018,0.300671,0.31115,0.300671,0.307323,0.307323,370325300
12/13/2018,0.30766,0.3078,0.298118,0.300026,0.300026,303413883
12/14/2018,0.299972,0.30015,0.285112,0.28879,0.28879,320266797
12/15/2018,0.288699,0.291372,0.282523,0.285883,0.285883,277696890
12/16/2018,0.285911,0.294169,0.28589,0.287929,0.287929,316135928
12/17/2018,0.288101,0.336501,0.286942,0.328453,0.328453,639336585
12/18/2018,0.329022,0.350162,0.325291,0.350162,0.350162,753758217
12/19/2018,0.35506,0.39333,0.348201,0.351956,0.351956,1041279272
12/20/2018,0.347361,0.388974,0.347056,0.378199,0.378199,1006287680
12/21/2018,0.376756,0.384089,0.354035,0.35857,0.35857,724747471
12/22/2018,0.358885,0.362968,0.34987,0.362308,0.362308,487175830
12/23/2018,0.363045,0.381476,0.361807,0.37127,0.37127,634162707
12/24/2018,0.372398,0.448477,0.372398,0.406799,0.406799,1688430313
12/25/2018,0.408439,0.408439,0.369362,0.380872,0.380872,955306080
12/26/2018,0.379991,0.391334,0.363441,0.378693,0.378693,690588635
12/27/2018,0.379106,0.379608,0.336282,0.341162,0.341162,575821047
12/28/2018,0.341807,0.379416,0.339139,0.376852,0.376852,765420103
12/29/2018,0.378346,0.383937,0.36708,0.367252,0.367252,617892297
12/30/2018,0.365248,0.371147,0.362264,0.369581,0.369581,486955034
12/31/2018,0.371051,0.373793,0.350787,0.352706,0.352706,501793515
1/1/2019,0.352512,0.364771,0.350402,0.364771,0.364771,449347622
1/2/2019,0.365675,0.378021,0.359574,0.375243,0.375243,543216669
1/3/2019,0.374505,0.374505,0.357675,0.360224,0.360224,438873803
1/4/2019,0.359753,0.364642,0.352785,0.356747,0.356747,450633876
1/5/2019,0.356347,0.361069,0.353987,0.355275,0.355275,452090239
1/6/2019,0.35475,0.36966,0.352589,0.368395,0.368395,492558794
1/7/2019,0.368854,0.37791,0.363387,0.364347,0.364347,499028522
1/8/2019,0.36442,0.370992,0.360734,0.365315,0.365315,499493490
1/9/2019,0.365886,0.373522,0.364756,0.37089,0.37089,455908708
1/10/2019,0.371464,0.381949,0.327159,0.332652,0.332652,839535352
1/11/2019,0.331284,0.337726,0.327914,0.332904,0.332904,501054509
1/12/2019,0.333004,0.336381,0.328033,0.3288,0.3288,376386863
1/13/2019,0.328662,0.333596,0.317098,0.317863,0.317863,452358902
1/14/2019,0.318354,0.337942,0.318354,0.333766,0.333766,545540174
1/15/2019,0.333912,0.3365,0.324011,0.327179,0.327179,429283720
1/16/2019,0.326946,0.334796,0.326174,0.329701,0.329701,438731638
1/17/2019,0.32969,0.330162,0.32574,0.329353,0.329353,433446502
1/18/2019,0.329196,0.329494,0.321856,0.324277,0.324277,376280714
1/19/2019,0.325702,0.333749,0.324911,0.331001,0.331001,420070097
1/20/2019,0.33122,0.332147,0.317609,0.321177,0.321177,407205881
1/21/2019,0.321179,0.322593,0.317439,0.32079,0.32079,363940431
1/22/2019,0.321078,0.321078,0.313455,0.319491,0.319491,434125854
1/23/2019,0.319566,0.320303,0.314923,0.316492,0.316492,375671478
1/24/2019,0.316416,0.318896,0.314433,0.317598,0.317598,344960253
1/25/2019,0.317859,0.319069,0.313824,0.317165,0.317165,360076505
1/26/2019,0.31726,0.319326,0.314235,0.314235,0.314235,346413648
1/27/2019,0.314854,0.315266,0.308366,0.309439,0.309439,362599965
1/28/2019,0.30936,0.309878,0.286563,0.294863,0.294863,584796818
1/29/2019,0.29506,0.296216,0.285888,0.289558,0.289558,454631055
1/30/2019,0.289425,0.324064,0.287915,0.320461,0.320461,753787392
1/31/2019,0.320704,0.333835,0.305866,0.310036,0.310036,780304474
2/1/2019,0.310839,0.311895,0.299399,0.308517,0.308517,564486615
2/2/2019,0.308326,0.311578,0.305231,0.310912,0.310912,429425320
2/3/2019,0.310429,0.311238,0.29937,0.302352,0.302352,438357004
2/4/2019,0.30258,0.305059,0.299364,0.300198,0.300198,418384497
2/5/2019,0.299763,0.301278,0.29721,0.299239,0.299239,424722760
2/6/2019,0.29943,0.299491,0.290419,0.290727,0.290727,456205130
2/7/2019,0.290691,0.294617,0.290445,0.291618,0.291618,368034283
2/8/2019,0.291668,0.315308,0.290119,0.311683,0.311683,683014535
2/9/2019,0.311578,0.313414,0.30756,0.311284,0.311284,461638795
2/10/2019,0.311253,0.31134,0.302092,0.309909,0.309909,495640831
2/11/2019,0.310034,0.310034,0.302741,0.302741,0.302741,474495062
2/12/2019,0.302569,0.307477,0.299579,0.30519,0.30519,472806810
2/13/2019,0.305429,0.311322,0.302188,0.304284,0.304284,494653115
2/14/2019,0.304017,0.3061,0.301514,0.301909,0.301909,418928960
2/15/2019,0.302129,0.304614,0.299583,0.301759,0.301759,426310729
2/16/2019,0.301602,0.303516,0.300731,0.301703,0.301703,379011431
2/17/2019,0.301571,0.304934,0.299235,0.30337,0.30337,427237164
2/18/2019,0.303084,0.327739,0.302557,0.321568,0.321568,887187377
2/19/2019,0.321427,0.343676,0.320942,0.323768,0.323768,1135384190
2/20/2019,0.323572,0.333607,0.320995,0.33288,0.33288,777173685
2/21/2019,0.332869,0.332869,0.319201,0.321291,0.321291,634536385
2/22/2019,0.321449,0.32344,0.318165,0.321904,0.321904,570898964
2/23/2019,0.321314,0.333893,0.318241,0.33262,0.33262,638747256
2/24/2019,0.332942,0.341581,0.299331,0.301443,0.301443,1117884486
2/25/2019,0.300708,0.337855,0.300708,0.32851,0.32851,1060838440
2/26/2019,0.327779,0.33431,0.316865,0.319477,0.319477,881257178
2/27/2019,0.319677,0.322419,0.308662,0.313106,0.313106,716326029
2/28/2019,0.313115,0.317004,0.311435,0.315078,0.315078,734041245
3/1/2019,0.315066,0.323946,0.31362,0.317312,0.317312,752723591
3/2/2019,0.316911,0.319301,0.312747,0.315126,0.315126,604560086
3/3/2019,0.314857,0.3165,0.310925,0.312554,0.312554,548503372
3/4/2019,0.312021,0.31312,0.302677,0.305133,0.305133,647905632
3/5/2019,0.305095,0.317879,0.304082,0.316507,0.316507,786832982
3/6/2019,0.316674,0.320833,0.311987,0.317031,0.317031,750399371
3/7/2019,0.317192,0.319898,0.314548,0.314766,0.314766,716447226
3/8/2019,0.315044,0.316385,0.308828,0.310087,0.310087,680461375
3/9/2019,0.309751,0.317748,0.309367,0.313826,0.313826,763946051
3/10/2019,0.314266,0.315795,0.311095,0.313107,0.313107,620043949
3/11/2019,0.313175,0.314576,0.309417,0.311065,0.311065,671951311
3/12/2019,0.311138,0.311773,0.307536,0.310201,0.310201,581106367
3/13/2019,0.310611,0.320114,0.30866,0.314098,0.314098,827163024
